Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Ref
PEUGEOT,PEUGEOT 3008 Hybrid 225 eEAT8 GT Pack,19.490 €,2021,62.203 km,Híbrido enchufable,225 cv,Madrid,https://www.coches.net/peugeot-3008-hybrid-225-eeat8-gt-pack-5p-electrico-hibrido-2020-en-madrid-70400632-covo.aspx
FORD,FORD Ranger 2.0 Ecobl eAWD D Cab Wildtrack AT,43.900 €,2023,80.000 km,Diesel,205 cv,Barcelona,https://www.coches.net/ford-ranger-20-ecobl-151kw-eawd-d-cab-wildtrack-at-4p-diesel-2023-en-barcelona-70400633-covo.aspx
CITROEN,CITROEN C-Elysée PureTech Shine,8.490 €,2019,75.471 km,Gasolina,82 cv,Madrid,https://www.coches.net/citroen-c-elysee-puretech-60kw-82cv-shine-4p-gasolina-2018-en-madrid-70400805-covo.aspx
CUPRA,CUPRA Formentor 2.0 TDI 150 CV,22.900 €,2021,120.051 km,Diesel,150 cv,Guadalajara,https://www.coches.net/cupra-formentor-20-tdi-110kw-150-cv-5p-diesel-2022-en-guadalajara-70401181-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Touran Sport 2.0 TDI DSG,36.500 €,2021,69.000 km,Diesel,150 cv,Bizkaia,https://www.coches.net/volkswagen-touran-sport-20-tdi-110kw-150cv-dsg-5p-diesel-2022-en-vizcaya-70401260-covo.aspx
MITSUBISHI,MITSUBISHI Outlander 2.0 4x4,6.990 €,2003,130.000 km,Gasolina,136 cv,Castellón,https://www.coches.net/mitsubishi-outlander-20-4x4-5p-gasolina-2003-en-castellon-70401659-covo.aspx
AUDI,AUDI A5 sport 2.0 TDI Sportback,27.190 €,2018,138.239 km,Diesel,190 cv,Jaén,https://www.coches.net/audi-a5-sport-20-tdi-140kw-190cv-sportback-5p-diesel-2018-en-jaen-70401770-covo.aspx
FIAT,FIAT 500 Red Hb 320km,15.390 €,2023,18.475 km,Eléctrico,118 cv,Madrid,https://www.coches.net/fiat-500-red-hb-320km-85kw-118cv-3p-electrico-hibrido-2022-en-madrid-70401848-covo.aspx
VOLKSWAGEN,VOLKSWAGEN T-Roc Advance 1.0 TSI,17.900 €,2020,77.200 km,Gasolina,115 cv,Murcia,https://www.coches.net/volkswagen-t-roc-advance-10-tsi-85kw-115cv-5p-gasolina-2020-en-murcia-70401852-covo.aspx
AUDI,AUDI A3 Sportb 1.6 TDI 110 clean S tr Attraction,10.999 €,2015,190.000 km,Diesel,110 cv,Sevilla,https://www.coches.net/audi-a3-sportb-16-tdi-110-clean-s-tr-attraction-5p-diesel-2016-en-sevilla-70401898-covo.aspx
BMW,BMW X6 M50d,45.000 €,2017,133.460 km,Diesel,381 cv,Ciudad Real,https://www.coches.net/bmw-x6-m50d-5p-diesel-2017-en-ciudad-real-70401941-covo.aspx
CITROEN,CITROEN C3 PureTech FEEL,7.490 €,2019,129.000 km,Gasolina,82 cv,Las Palmas,https://www.coches.net/citroen-c3-puretech-60kw-82cv-feel-5p-gasolina-2019-en-las-palmas-70402156-covo.aspx
VOLVO,VOLVO V90 Cross Country 2.0 B4 D Pro AWD Auto,36.900 €,2022,53.000 km,Híbrido,197 cv,Madrid,https://www.coches.net/volvo-v90-cross-country-20-b4-d-pro-awd-auto-5p-electrico-hibrido-2022-en-madrid-70402162-covo.aspx
VOLVO,VOLVO XC90 2.0 T8 AWD Recharge Inscription Exp Auto,34.900 €,2021,129.000 km,Híbrido enchufable,390 cv,Almería,https://www.coches.net/volvo-xc90-20-t8-awd-recharge-inscription-exp-auto-5p-electrico-hibrido-2022-en-almeria-70402182-covo.aspx
AUDI,AUDI A5 Black Line 40 TDI S tronic Sportback,40.900 €,2022,48.700 km,Híbrido,204 cv,Murcia,https://www.coches.net/audi-a5-black-line-40-tdi-s-tronic-sportback-5p-electrico-hibrido-2023-en-murcia-70402377-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase V 250 d Avantgarde Largo,39.999 €,2016,149.500 km,Diesel,190 cv,Alicante,https://www.coches.net/mercedes-benz-clase-v-250-d-avantgarde-largo-5p-diesel-2016-en-alicante-70403356-covo.aspx
BMW,BMW Serie 3 320d EfficientDynamics,14.990 €,2015,195.000 km,Diesel,163 cv,Asturias,https://www.coches.net/bmw-serie-3-320d-efficientdynamics-4p-diesel-2016-en-asturias-70404371-covo.aspx
DACIA,DACIA Jogger S.L. Extreme Go TCe,17.400 €,2023,56.000 km,Gasolina,110 cv,Madrid,https://www.coches.net/dacia-jogger-sl-extreme-go-tce-81kw-110cv-5p-5p-gasolina-2022-en-madrid-70405950-covo.aspx
PEUGEOT,PEUGEOT 308 Allure 1.6 BlueHDi,8.970 €,2017,189.000 km,Diesel,120 cv,Madrid,https://www.coches.net/peugeot-308-5p-allure-16-bluehdi-88kw-120cv-5p-diesel-2017-en-madrid-70405978-covo.aspx
JEEP,JEEP Grand Cherokee 3.0 V6 Diesel Summit 250 CV,17.500 €,2015,167.000 km,Diesel,250 cv,Huesca,https://www.coches.net/jeep-grand-cherokee-30-v6-diesel-summit-250-cv-5p-diesel-2015-en-huesca-70406166-covo.aspx
MINI,MINI CLUBMAN Cooper S,24.490 €,2022,78.895 km,Gasolina,192 cv,Madrid,https://www.coches.net/mini-clubman-cooper-s-5p-gasolina-2020-en-madrid-70406249-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ GLC Coupé GLC 300 de 4MATIC,38.985 €,2022,124.899 km,Híbrido enchufable,306 cv,Sta. C. Tenerife,https://www.coches.net/mercedes-benz-glc-coupe-glc-300-de-4matic-5p-electrico-hibrido-2022-en-sta-c-tenerife-70406299-covo.aspx
CITROEN,CITROEN C4 Spacetourer PureTech SS 6v Feel,11.900 €,2019,110.000 km,Gasolina,130 cv,Madrid,https://www.coches.net/citroen-c4-spacetourer-puretech-96kw-130cv-ss-6v-feel-5p-gasolina-2018-en-madrid-70406321-covo.aspx
TOYOTA,TOYOTA Proace City 1.5D GX L1,14.800 €,2020,104.909 km,Diesel,102 cv,Valencia,https://www.coches.net/toyota-proace-city-15d-75kw-100cv-gx-l1-4p-diesel-2020-en-valencia-70406439-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Tiguan Allspace Advance 2.0 TDI DSG,26.490 €,2021,123.162 km,Diesel,150 cv,Madrid,https://www.coches.net/volkswagen-tiguan-allspace-advance-20-tdi-110kw-150cv-dsg-5p-diesel-2021-en-madrid-70406554-covo.aspx
BMW,BMW X1 sDrive18i,24.990 €,2021,51.732 km,Gasolina,136 cv,Madrid,https://www.coches.net/bmw-x1-sdrive18i-5p-gasolina-2021-en-madrid-70406559-covo.aspx
