Car_Name,Real_Price,Predicted_Price,URL,Oportunidad_%
FIAT Panda Panda Hybrid 1.0 Gse,7900.0,10787.156,https://www.coches.net/fiat-panda-panda-hybrid-10-gse-51kw-70cv-5p-electrico-hibrido-2021-en-madrid-70473967-covo.aspx,26.764757857289773
LAND-ROVER Range Rover Velar 2.0 D240 HSE 4WD Auto,27900.0,38018.71,https://www.coches.net/land-rover-range-rover-velar-20-d240-177kw-240cv-hse-4wd-auto-5p-diesel-2019-en-malaga-70015122-covo.aspx,26.615081595308233
JEEP Compass 4Xe 1.3 PHEV Trailhawk AT AWD,25500.0,34682.195,https://www.coches.net/jeep-compass-4xe-13-phev-177kw-trailhawk-at-awd-5p-electrico-hibrido-2023-en-alicante-70457943-covo.aspx,26.475242497670255
MERCEDES-BENZ Clase B B 180 CDI,7900.0,10718.996,https://www.coches.net/mercedes-benz-clase-b-b-180-cdi-5p-diesel-2008-en-madrid-70495184-covo.aspx,26.29906820652441
MERCEDES-BENZ Clase E E 220 BlueTEC Avantgarde Estate,17490.0,23575.78,https://www.coches.net/mercedes-benz-clase-e-e-220-bluetec-avantgarde-estate-5p-diesel-2016-en-barcelona-70485920-covo.aspx,25.813693028937024
OPEL Insignia 1.6CDTI SS eco Excellence,6980.0,9359.922,https://www.coches.net/opel-insignia-16cdti-ss-eco-100kw-136cv-excellence-5p-diesel-2017-en-jaen-70229306-covo.aspx,25.42672798751325
MINI MINI COOPER SE,14900.0,19953.96,https://www.coches.net/mini-mini-cooper-se-3p-electrico-hibrido-2021-en-madrid-70487929-covo.aspx,25.328108806717964
BMW Serie 1 120d,30990.0,41464.656,https://www.coches.net/bmw-serie-1-120d-5p-electrico-hibrido-2025-en-madrid-70462573-covo.aspx,25.26164979361188
MERCEDES-BENZ Clase E E 400 d 4MATIC Estate,33999.0,45477.094,https://www.coches.net/mercedes-benz-clase-e-e-400-d-4matic-estate-5p-diesel-2021-en-madrid-70058556-covo.aspx,25.239285986695226
SSANGYONG Korando G15T LP Urban Plus,15900.0,21210.736,https://www.coches.net/ssangyong-korando-g15t-110kw-lp-urban-plus-5p-gasolina-2022-en-madrid-70472773-covo.aspx,25.037963067237197
LAND-ROVER Range Rover Sport 3.0 SDV6 255 CV HSE,14590.0,19431.969,https://www.coches.net/land-rover-range-rover-sport-30-sdv6-255-cv-hse-5p-diesel-2013-en-madrid-70326883-covo.aspx,24.91754084361627
