Car_Name,Real_Price,Predicted_Price,URL,Oportunidad_%
RENAULT Talisman S.T. Limited Blue dCi,14990.0,21549.473,https://www.coches.net/renault-talisman-st-limited-blue-dci-110-kw-150cv-5p-diesel-2019-en-murcia-62670424-covo.aspx,30.439133063182194
CITROEN C-Elysée VTi Feel,6490.0,9307.295,https://www.coches.net/citroen-c-elysee-vti-85kw-115cv-feel-4p-gasolina-2017-en-las-palmas-70110467-covo.aspx,30.26975018545391
BMW Serie 1 118d,13500.0,19336.82,https://www.coches.net/bmw-serie-1-118d-5p-diesel-2017-en-murcia-60829031-covo.aspx,30.185005694689494
MERCEDES-BENZ GLC GLC 300 de 4MATIC,38450.0,55023.58,https://www.coches.net/mercedes-benz-glc-glc-300-de-4matic-5p-electrico-hibrido-2023-en-madrid-70326869-covo.aspx,30.12086579929229
BMW Serie 2 Active Tourer 225xe,15985.0,22780.979,https://www.coches.net/bmw-serie-2-active-tourer-225xe-5p-electrico-hibrido-2022-en-las-palmas-70286472-covo.aspx,29.831811267298196
DR AUTOMOBILES DR 4.0 1.5,12890.0,18365.86,https://www.coches.net/dr-automobiles-dr-40-15-5p-gasolina-2022-en-madrid-70281231-covo.aspx,29.815426891778646
LAND-ROVER Range Rover Velar 3.0D D300 RDynamic HSE 4WD Auto,30000.0,42665.71,https://www.coches.net/land-rover-range-rover-velar-30d-d300-rdynamic-hse-4wd-auto-5p-diesel-2018-en-murcia-61132057-covo.aspx,29.68592497158597
OPEL Astra 1.5D DVH GS Line,12099.0,17150.793,https://www.coches.net/opel-astra-15d-dvh-90kw-122cv-gs-line-5p-diesel-2021-en-sevilla-70520908-covo.aspx,29.45515684292112
SSANGYONG Tivoli G15T Limited,22490.0,31833.363,https://www.coches.net/ssangyong-tivoli-g15t-limited-5p-gasolina-2024-en-madrid-70453504-covo.aspx,29.350851805072338
FORD Mondeo 2.0 Hibrido Trend HEV Auto,14470.0,20470.232,https://www.coches.net/ford-mondeo-20-hibrido-138kw-187cv-trend-hev-auto-4p-electrico-hibrido-2020-en-madrid-70234124-covo.aspx,29.31198971372207
SEAT León SP 2.0 TDI DSG SS FR,13470.0,18971.586,https://www.coches.net/seat-leon-sp-20-tdi-110kw-dsg-ss-fr-5p-diesel-2021-en-madrid-70168929-covo.aspx,28.999082921293066
VOLKSWAGEN Golf 1.4 TSI GT Sport,6990.0,9844.664,https://www.coches.net/volkswagen-golf-14-tsi-170cv-gt-sport-3p-gasolina-2008-en-asturias-70493193-covo.aspx,28.997069319753642
BMW Serie 7 740i,17900.0,25208.652,https://www.coches.net/bmw-serie-7-740i-4p-gasolina-2012-en-alicante-70426248-covo.aspx,28.992634132470947
FORD Fiesta 1.0 EcoB. STLine SS AT,10990.0,15458.663,https://www.coches.net/ford-fiesta-10-ecob-92kw-125cv-stline-ss-at-5p-5p-gasolina-2020-en-barcelona-70485932-covo.aspx,28.907176908477755
SUZUKI SX4 1.9 DDiS GL,5490.0,7716.8555,https://www.coches.net/suzuki-sx4-19-ddis-gl-5p-diesel-2007-en-jaen-70177733-covo.aspx,28.85703221691559
MINI MINI COOPER SE,14900.0,20911.24,https://www.coches.net/mini-mini-cooper-se-3p-electrico-hibrido-2021-en-madrid-70487929-covo.aspx,28.74645485872907
PEUGEOT 208 Active Puretech 100,12900.0,17975.922,https://www.coches.net/peugeot-208-active-puretech-100-5p-gasolina-2023-en-pontevedra-70504516-covo.aspx,28.237338314533588
VOLKSWAGEN Caddy Trendline 2.0 TDI SCR BMT,11490.0,15954.547,https://www.coches.net/volkswagen-caddy-trendline-20-tdi-scr-bmt-150cv-5p-diesel-2016-en-sevilla-70461114-covo.aspx,27.982912394683723
RENAULT Mégane Emotion 1.5DCI105,4490.0,6234.189,https://www.coches.net/renault-megane-emotion-15dci105-5p-diesel-2007-en-madrid-70503107-covo.aspx,27.97780071601447
BMW Serie 3 330i xDrive,19990.0,27733.705,https://www.coches.net/bmw-serie-3-330i-xdrive-4p-gasolina-2017-en-malaga-70331960-covo.aspx,27.921639233961777
LAND-ROVER Range Rover Velar 2.0 D240 HSE 4WD Auto,27900.0,38666.8,https://www.coches.net/land-rover-range-rover-velar-20-d240-177kw-240cv-hse-4wd-auto-5p-diesel-2019-en-malaga-70015122-covo.aspx,27.845077854154805
MERCEDES-BENZ Clase E E 220 BlueTEC Avantgarde Estate,17490.0,24213.932,https://www.coches.net/mercedes-benz-clase-e-e-220-bluetec-avantgarde-estate-5p-diesel-2016-en-barcelona-70485920-covo.aspx,27.768855303712442
OPEL Insignia 1.6CDTI SS eco Excellence,6980.0,9660.58,https://www.coches.net/opel-insignia-16cdti-ss-eco-100kw-136cv-excellence-5p-diesel-2017-en-jaen-70229306-covo.aspx,27.747609941092357
SUBARU Forester 2.0 D Sport Plus,7490.0,10347.901,https://www.coches.net/subaru-forester-20-d-sport-plus-5p-diesel-2012-en-madrid-70463748-covo.aspx,27.618173635184746
SEAT León ST 2.0 TSI DSG7 SS Cupra,27070.0,37380.52,https://www.coches.net/seat-leon-st-20-tsi-213kw-290cv-dsg7-ss-cupra-5p-gasolina-2020-en-madrid-70224527-covo.aspx,27.582600939054462
PEUGEOT 5008 Active 2.0 HDI 150 FAP,9500.0,13113.226,https://www.coches.net/peugeot-5008-active-20-hdi-150-fap-5p-diesel-2012-en-sevilla-70487198-covo.aspx,27.554056492494794
VOLVO XC60 2.0 T8 AWD Inscription Auto,28990.0,39943.414,https://www.coches.net/volvo-xc60-20-t8-awd-inscription-auto-5p-electrico-hibrido-2019-en-sta-c-tenerife-62597824-covo.aspx,27.42232810986323
VOLKSWAGEN Passat Variant Business 2.0 TDI,18990.0,26159.652,https://www.coches.net/volkswagen-passat-variant-business-20-tdi-110kw-5p-diesel-2022-en-vizcaya-62309188-covo.aspx,27.407292151812392
SEAT León 1.5 eTSI DSG7 SS FR Go XL,13590.0,18708.486,https://www.coches.net/seat-leon-15-etsi-110kw-dsg7-ss-fr-go-xl-5p-electrico-hibrido-2022-en-madrid-62427109-covo.aspx,27.359168659359863
MERCEDES-BENZ Clase B B 220 d,21499.0,29488.16,https://www.coches.net/mercedes-benz-clase-b-b-220-d-5p-diesel-2018-en-alicante-70498807-covo.aspx,27.09277253622316
RENAULT Scénic Zen Blue dCi,14990.0,20538.82,https://www.coches.net/renault-scenic-zen-blue-dci-110-kw-150cv-5p-diesel-2019-en-barcelona-62597494-covo.aspx,27.016256182556734
FORD Focus 1.0 Ecoboost Trend,8485.0,11600.947,https://www.coches.net/ford-focus-10-ecoboost-92kw-trend-5p-gasolina-2017-en-las-palmas-70516619-covo.aspx,26.859420996231282
VOLKSWAGEN Golf 1.9 TDI Conceptline,4500.0,6149.42,https://www.coches.net/volkswagen-golf-19-tdi-conceptline-5p-diesel-2007-en-sevilla-70408634-covo.aspx,26.822366057774122
SMART fortwo 60kW81CV EQ coupe,9990.0,13642.494,https://www.coches.net/smart-fortwo-60kw81cv-eq-coupe-3p-electrico-hibrido-2021-en-madrid-70503036-covo.aspx,26.77292072091496
FIAT Panda Panda Hybrid 1.0 Gse,7900.0,10781.59,https://www.coches.net/fiat-panda-panda-hybrid-10-gse-51kw-70cv-5p-electrico-hibrido-2021-en-madrid-70487995-covo.aspx,26.726947375209548
FIAT Panda Panda Hybrid 1.0 Gse,7900.0,10781.59,https://www.coches.net/fiat-panda-panda-hybrid-10-gse-51kw-70cv-5p-electrico-hibrido-2021-en-madrid-70473967-covo.aspx,26.726947375209548
SEAT León ST 1.5 TGI SS Xcellence,11990.0,16359.519,https://www.coches.net/seat-leon-st-15-tgi-96kw-ss-xcellence-5p-otros-2020-en-madrid-70417506-covo.aspx,26.70933463036111
SSANGYONG Korando G15T LP Urban Plus,15900.0,21683.193,https://www.coches.net/ssangyong-korando-g15t-110kw-lp-urban-plus-5p-gasolina-2022-en-madrid-70472773-covo.aspx,26.671317566213393
OPEL Insignia ST 1.6 CDTi ecoTEC D Business,8900.0,12084.922,https://www.coches.net/opel-insignia-st-16-cdti-100kw-ecotec-d-business-5p-diesel-2018-en-almeria-70236919-covo.aspx,26.354509428717343
FORD Focus 1.0 Ecoboost MHEV Active,15490.0,21026.979,https://www.coches.net/ford-focus-10-ecoboost-mhev-114kw-active-5p-electrico-hibrido-2022-en-madrid-70413682-covo.aspx,26.332734926753794
NISSAN Micra 1.2G 80 CV 25 ANIVERSARIO,4790.0,6498.4976,https://www.coches.net/nissan-micra-5p-12g-80-cv-25-aniversario-5p-gasolina-2009-en-madrid-70316375-covo.aspx,26.290654773492943
MG MG3 Hybrid+ Luxury,18290.0,24802.15,https://www.coches.net/mg-mg3-hybrid-luxury-5p-electrico-hibrido-2024-en-huelva-70429359-covo.aspx,26.256394256388905
FIAT Tipo 1.6 Multijet Business,8470.0,11462.1045,https://www.coches.net/fiat-tipo-5p-16-multijet-88kw-120cv-business-5p-diesel-2020-en-madrid-70169353-covo.aspx,26.104320495655053
FIAT Tipo 1.4 16v Easy gasolina,8800.0,11896.6,https://www.coches.net/fiat-tipo-14-16v-easy-70kw-95cv-gasolina-5p-5p-gasolina-2016-en-valencia-70460676-covo.aspx,26.029283249431668
MG MG3 Hybrid+ Comfort,17290.0,23365.791,https://www.coches.net/mg-mg3-hybrid-comfort-5p-electrico-hibrido-2024-en-madrid-70317377-covo.aspx,26.002933140855543
VOLKSWAGEN Golf Plus 2.0 TDI Highline,6980.0,9411.353,https://www.coches.net/volkswagen-golf-plus-20-tdi-highline-5p-diesel-2007-en-jaen-70005172-covo.aspx,25.83425207982588
FORD Fiesta 1.4 TDCi Trend,3480.0,4691.336,https://www.coches.net/ford-fiesta-14-tdci-trend-5p-diesel-2009-en-jaen-62597730-covo.aspx,25.82070339105832
HYUNDAI Santa Fe 2.2 CRDi Klass 4x2 7S,15490.0,20879.197,https://www.coches.net/hyundai-santa-fe-22-crdi-klass-4x2-7s-5p-diesel-2015-en-barcelona-70485929-covo.aspx,25.811324051704048
BMW i3 94ah,15790.0,21241.715,https://www.coches.net/bmw-i3-94ah-5p-electrico-hibrido-2019-en-madrid-70326938-covo.aspx,25.665135248504058
CITROEN C3 BlueHDi SS SHINE,8590.0,11536.764,https://www.coches.net/citroen-c3-bluehdi-73kw-100cv-ss-shine-5p-diesel-2018-en-granada-70453716-covo.aspx,25.54237701045046
CITROEN C3 BlueHDi SS Feel Pack,9999.0,13423.819,https://www.coches.net/citroen-c3-bluehdi-75kw-100cv-ss-feel-pack-5p-diesel-2022-en-alicante-70273874-covo.aspx,25.513002300088804
JEEP Compass 4Xe 1.3 PHEV Trailhawk AT AWD,25500.0,34227.094,https://www.coches.net/jeep-compass-4xe-13-phev-177kw-trailhawk-at-awd-5p-electrico-hibrido-2023-en-alicante-70457943-covo.aspx,25.49761838894078
AUDI Q7 3.0 TDI quattro tiptronic DPF,9999.0,13404.383,https://www.coches.net/audi-q7-30-tdi-quattro-tiptronic-dpf-5p-diesel-2009-en-sevilla-70316977-covo.aspx,25.404995217865423
MINI CLUBMAN COOPER S,16500.0,22084.21,https://www.coches.net/mini-clubman-cooper-s-5p-gasolina-2018-en-sevilla-70315717-covo.aspx,25.285988045050566
MERCEDES-BENZ Clase C C 200 CDI Estate,10900.0,14567.682,https://www.coches.net/mercedes-benz-clase-c-c-200-cdi-estate-5p-diesel-2014-en-malaga-70349578-covo.aspx,25.176838230710025
RENAULT Clio Intens Blue dCi,9500.0,12695.875,https://www.coches.net/renault-clio-intens-blue-dci-74kw-100cv-5p-diesel-2021-en-sevilla-70505186-covo.aspx,25.17254620102986
OPEL Crossland X 1.2 Innovation SS Auto,13490.0,18020.72,https://www.coches.net/opel-crossland-x-12-96kw-130cv-innovation-ss-auto-5p-gasolina-2020-en-vizcaya-70290198-covo.aspx,25.14172866759608
VOLKSWAGEN T-Roc Sport 2.0 TDI DSG,15490.0,20687.984,https://www.coches.net/volkswagen-t-roc-sport-20-tdi-110kw-150cv-dsg-5p-diesel-2021-en-madrid-70344747-covo.aspx,25.12562017052471
FIAT Tipo 1.4 TJet Lounge,10490.0,13989.406,https://www.coches.net/fiat-tipo-5p-14-tjet-88kw-120cv-lounge-5p-gasolina-2020-en-madrid-70256949-covo.aspx,25.01468745322912
