Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Ref
OPEL,OPEL Corsa 1.2T XHL Elegance,10.399 €,2020,70.917 km,Gasolina,100 cv,Sevilla,https://www.coches.net/opel-corsa-12t-xhl-74kw-100cv-elegance-5p-gasolina-2020-en-sevilla-70519648-covo.aspx
OPEL,OPEL Corsa 1.2T XHL Edition,10.690 €,2020,31.579 km,Gasolina,100 cv,Madrid,https://www.coches.net/opel-corsa-12t-xhl-74kw-100cv-edition-5p-gasolina-2022-en-madrid-70519983-covo.aspx
OPEL,OPEL Corsa 1.2T XHL Elegance Auto,12.490 €,2022,93.194 km,Gasolina,100 cv,Madrid,https://www.coches.net/opel-corsa-12t-xhl-74kw-100cv-elegance-auto-5p-gasolina-2022-en-madrid-70521115-covo.aspx
RENAULT,RENAULT Clio Intens TCe,13.790 €,2022,54.384 km,Gasolina,90 cv,Madrid,https://www.coches.net/renault-clio-intens-tce-67-kw-91cv-5p-gasolina-2021-en-madrid-70512459-covo.aspx
RENAULT,RENAULT Clio Zen TCe,13.499 €,2022,49.268 km,Gasolina,90 cv,Barcelona,https://www.coches.net/renault-clio-zen-tce-67-kw-91cv-5p-gasolina-2021-en-barcelona-70520877-covo.aspx
CITROEN,CITROEN C3 PureTech Feel,10.990 €,2022,40.000 km,Gasolina,83 cv,Barcelona,https://www.coches.net/citroen-c3-puretech-60kw-83cv-feel-5p-gasolina-2022-en-barcelona-70515686-covo.aspx
CITROEN,CITROEN C3 PureTech SS Shine,13.950 €,2023,23.000 km,Gasolina,110 cv,Barcelona,https://www.coches.net/citroen-c3-puretech-81kw-110cv-ss-shine-5p-gasolina-2023-en-barcelona-70515691-covo.aspx
CITROEN,CITROEN C3 PureTech CSeries,11.350 €,2022,53.217 km,Gasolina,83 cv,Barcelona,https://www.coches.net/citroen-c3-puretech-60kw-83cv-cseries-5p-gasolina-2021-en-barcelona-70515872-covo.aspx
CITROEN,CITROEN C3 PureTech Feel Pack,10.999 €,2022,43.954 km,Gasolina,83 cv,Madrid,https://www.coches.net/citroen-c3-puretech-60kw-83cv-feel-pack-5p-gasolina-2022-en-madrid-70519589-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Polo Advance 1.0 TSI,13.490 €,2021,91.630 km,Gasolina,95 cv,Madrid,https://www.coches.net/volkswagen-polo-advance-10-tsi-70kw-95cv-5p-gasolina-2021-en-madrid-70517394-covo.aspx
NISSAN,NISSAN QASHQAI dCi 115 CV E6D NCONNECTA,13.490 €,2021,196.000 km,Diesel,115 cv,Bizkaia,https://www.coches.net/nissan-qashqai-dci-85-kw-115-cv-e6d-nconnecta-5p-diesel-2020-en-vizcaya-70515115-covo.aspx
SEAT,SEAT Ibiza 1.0 MPI Reference,13.490 €,2022,20.439 km,Gasolina,80 cv,Barcelona,https://www.coches.net/seat-ibiza-10-mpi-59kw-80cv-reference-5p-gasolina-2022-en-barcelona-70515676-covo.aspx
RENAULT,RENAULT Mégane Limited Blue dCi,11.900 €,2020,165.000 km,Diesel,115 cv,Asturias,https://www.coches.net/renault-megane-limited-blue-dci-85-kw-115cv-5p-diesel-2018-en-asturias-70519795-covo.aspx
PEUGEOT,PEUGEOT 308 Style BlueHDi 130 SS,13.990 €,2021,73.393 km,Diesel,130 cv,Barcelona,https://www.coches.net/peugeot-308-5p-style-bluehdi-130-ss-5p-diesel-2021-en-barcelona-70515677-covo.aspx
SEAT,SEAT Ibiza 1.0 MPI Style,9.900 €,2021,166.260 km,Gasolina,80 cv,Madrid,https://www.coches.net/seat-ibiza-10-mpi-59kw-80cv-style-5p-gasolina-2022-en-madrid-70509153-covo.aspx
CITROEN,CITROEN C3 BlueHDi SS SHINE,8.500 €,2019,174.000 km,Diesel,99 cv,Barcelona,https://www.coches.net/citroen-c3-bluehdi-73kw-100cv-ss-shine-5p-diesel-2018-en-barcelona-70513247-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf Advance 1.6 TDI,14.499 €,2019,127.405 km,Diesel,115 cv,Sevilla,https://www.coches.net/volkswagen-golf-advance-16-tdi-85kw-115cv-5p-diesel-2019-en-sevilla-70519639-covo.aspx
CITROEN,CITROEN C3 BlueHDi SS ORIGINS,8.990 €,2019,112.322 km,Diesel,99 cv,Valencia,https://www.coches.net/citroen-c3-bluehdi-73kw-100cv-ss-origins-5p-diesel-2019-en-valencia-70520775-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf Sport 1.6 TDI DSG,14.599 €,2019,154.850 km,Diesel,115 cv,Sevilla,https://www.coches.net/volkswagen-golf-sport-16-tdi-85kw-115cv-dsg-5p-diesel-2019-en-sevilla-70520921-covo.aspx
OPEL,OPEL Corsa 1.2T XHL GS,14.190 €,2024,15.230 km,Gasolina,100 cv,Madrid,https://www.coches.net/opel-corsa-12t-xhl-74kw-100cv-gs-5p-gasolina-2024-en-madrid-70518732-covo.aspx
RENAULT,RENAULT Mégane Business Blue dCi,12.990 €,2019,99.713 km,Diesel,115 cv,Madrid,https://www.coches.net/renault-megane-business-blue-dci-81-kw-115cv-5p-diesel-2018-en-madrid-70520080-covo.aspx
FORD,FORD Focus 1.5 Ecoblue Trend,12.499 €,2019,122.906 km,Diesel,120 cv,Sevilla,https://www.coches.net/ford-focus-15-ecoblue-88kw-trend-5p-diesel-2019-en-sevilla-70520947-covo.aspx
CITROEN,CITROEN C3 PureTech Max,14.490 €,2024,15.528 km,Gasolina,110 cv,Barcelona,https://www.coches.net/citroen-c3-puretech-81kw-110cv-max-5p-gasolina-2023-en-barcelona-70520398-covo.aspx
