Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
AUDI,AUDI Q4 Sportback e-tron Black line edition 45 etron 82kWh,48.700 €,2024,18.920 km,Eléctrico,286 cv,Madrid,2026-05-06 14:19:19,CERO,https://www.coches.net/audi-q4-sportback-e-tron-black-line-edition-45-etron-210kw-82kwh-5p-electrico-hibrido-2024-en-madrid-70416818-covo.aspx
AUDI,AUDI Q8 Sportback e-tron S line 55 quattro,54.500 €,2023,33.573 km,Eléctrico,408 cv,Madrid,2026-05-06 14:19:19,CERO,https://www.coches.net/audi-q8-sportback-e-tron-s-line-55-quattro-5p-electrico-hibrido-2024-en-madrid-70416842-covo.aspx
AUDI,AUDI Q8 Sportback e-tron S line 55 quattro,65.000 €,2023,275 km,Eléctrico,408 cv,Madrid,2026-05-06 14:19:19,CERO,https://www.coches.net/audi-q8-sportback-e-tron-s-line-55-quattro-5p-electrico-hibrido-2024-en-madrid-70416844-covo.aspx
AUDI,AUDI Q8 e-tron S line 55 quattro,53.200 €,2023,23.178 km,Eléctrico,408 cv,Madrid,2026-05-06 14:19:19,CERO,https://www.coches.net/audi-q8-e-tron-s-line-55-quattro-5p-electrico-hibrido-2024-en-madrid-70416857-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Polo Polo 1.0 TSI,11.990 €,2022,113.000 km,Gasolina,95 cv,Sta. C. Tenerife,2026-05-06 14:19:19,B,https://www.coches.net/volkswagen-polo-polo-10-tsi-70kw-95cv-5p-gasolina-2022-en-sta-c-tenerife-70417562-covo.aspx
DACIA,DACIA Duster Ambiance TCE 4X2 2017,12.990 €,2018,120.788 km,Gasolina,125 cv,Las Palmas,2026-05-06 14:19:19,B,https://www.coches.net/dacia-duster-ambiance-tce-92kw-125cv-4x2-2017-5p-gasolina-2017-en-las-palmas-70417680-covo.aspx
CITROEN,CITROEN C3 PureTech FEEL,6.790 €,2019,144.000 km,Gasolina,82 cv,Las Palmas,2026-05-06 14:19:19,B,https://www.coches.net/citroen-c3-puretech-60kw-82cv-feel-5p-gasolina-2019-en-las-palmas-70418268-covo.aspx
VOLVO,VOLVO XC40 1.5 T4 Twin Recharge Inscription Auto,26.900 €,2021,75.000 km,Híbrido enchufable,211 cv,Valencia,2026-05-06 14:19:19,CERO,https://www.coches.net/volvo-xc40-15-t4-twin-recharge-inscription-auto-5p-electrico-hibrido-2021-en-valencia-70418272-covo.aspx
HYUNDAI,HYUNDAI Tucson 1.6 CRDI 48V Maxx DCT 4x4,25.900 €,2022,85.000 km,Híbrido,136 cv,Valladolid,2026-05-06 14:19:19,ECO,https://www.coches.net/hyundai-tucson-16-crdi-100kw-136cv-48v-maxx-dct-4x4-5p-electrico-hibrido-2022-en-valladolid-70418312-covo.aspx
SKODA,SKODA Kamiq 1.0 TSI DSG MONTECARLO,22.990 €,2024,46.000 km,Gasolina,110 cv,Las Palmas,2026-05-06 14:19:19,C,https://www.coches.net/skoda-kamiq-10-tsi-81kw-110cv-dsg-montecarlo-5p-gasolina-2023-en-las-palmas-70418432-covo.aspx
SEAT,SEAT Ateca 1.6 TDI StSp Reference Eco,13.990 €,2019,158.929 km,Diesel,115 cv,Asturias,2026-05-06 14:19:19,C,https://www.coches.net/seat-ateca-16-tdi-85kw-115cv-stsp-reference-eco-5p-diesel-2019-en-asturias-70418677-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ GLA GLA 200,29.500 €,2021,81.000 km,Gasolina,163 cv,Valladolid,2026-05-06 14:19:19,C,https://www.coches.net/mercedes-benz-gla-gla-200-5p-gasolina-2020-en-valladolid-70418858-covo.aspx
RENAULT,RENAULT Captur techno TCe,21.500 €,2023,19.000 km,Gasolina,90 cv,Málaga,2026-05-06 14:19:19,B,https://www.coches.net/renault-captur-techno-tce-67kw-90cv-5p-gasolina-2022-en-malaga-70418947-covo.aspx
JEEP,JEEP Compass 1.4 Mair Longitude 4x2,14.900 €,2019,85.000 km,Gasolina,140 cv,Málaga,2026-05-06 14:19:19,B,https://www.coches.net/jeep-compass-14-mair-103kw-longitude-4x2-5p-gasolina-2019-en-malaga-70418959-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ GLE GLE 300 d 4MATIC,61.900 €,2022,79.000 km,Híbrido,272 cv,Madrid,2026-05-06 14:19:19,ECO,https://www.coches.net/mercedes-benz-gle-gle-300-d-4matic-5p-electrico-hibrido-2022-en-madrid-70419010-covo.aspx
AUDI,AUDI A5 35 TDI S tronic Sportback,27.890 €,2021,103.946 km,Diesel,150 cv,Cádiz,2026-05-06 14:19:19,B,https://www.coches.net/audi-a5-35-tdi-110kw-150cv-s-tronic-sportback-5p-diesel-2019-en-cadiz-70419020-covo.aspx
SEAT,SEAT León 2.0 TDI DSG7 SS FR,18.090 €,2022,154.231 km,Diesel,150 cv,Madrid,2026-05-06 14:19:19,C,https://www.coches.net/seat-leon-20-tdi-110kw-dsg7-ss-fr-5p-diesel-2023-en-madrid-70419031-covo.aspx
SEAT,SEAT León 2.0 TDI SS Reference Go,12.990 €,2021,137.686 km,Diesel,115 cv,Sevilla,2026-05-06 14:19:19,C,https://www.coches.net/seat-leon-20-tdi-85kw-ss-reference-go-5p-diesel-2021-en-sevilla-70419037-covo.aspx
DACIA,DACIA Sandero Ambiance dCi,7.390 €,2017,189.996 km,Diesel,75 cv,Cádiz,2026-05-06 14:19:19,C,https://www.coches.net/dacia-sandero-ambiance-dci-55kw-75cv-5p-diesel-2016-en-cadiz-70419081-covo.aspx
TOYOTA,TOYOTA C-HR 1.8 125H Advance,25.990 €,2022,29.000 km,Híbrido,122 cv,Alicante,2026-05-06 14:19:19,ECO,https://www.coches.net/toyota-c-hr-18-125h-advance-5p-electrico-hibrido-2022-en-alicante-70419127-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Amarok DC 2.0 TDI 4MO Conectable,24.990 €,2016,79.000 km,Diesel,180 cv,Valencia,2026-05-06 14:19:19,B,https://www.coches.net/volkswagen-amarok-dc-20-tdi-4mo-conectable-180cv-4p-diesel-2016-en-valencia-70419192-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf Ready2Go 1.6 TDI,18.499 €,2019,99.990 km,Diesel,115 cv,Murcia,2026-05-06 14:19:19,C,https://www.coches.net/volkswagen-golf-ready2go-16-tdi-85kw-115cv-5p-diesel-2019-en-murcia-70419756-covo.aspx
RENAULT,RENAULT Scénic Limited dCi 110 EDC,7.190 €,2014,155.460 km,Diesel,110 cv,Madrid,2026-05-06 14:19:19,B,https://www.coches.net/renault-scenic-limited-dci-110-edc-5p-diesel-2014-en-madrid-70419889-covo.aspx
OPEL,OPEL Frontera 1.2T XHT Hybrid eDCT6 GS,22.900 €,2025,19.000 km,Híbrido,146 cv,Valencia,2026-05-06 14:19:19,ECO,https://www.coches.net/opel-frontera-12t-xht-hybrid-edct6-107kw-gs-5p-electrico-hibrido-2024-en-valencia-70421168-covo.aspx
BMW,BMW X1 sDrive20i,35.900 €,2023,117.352 km,Híbrido,170 cv,Valladolid,2026-05-06 14:19:19,ECO,https://www.coches.net/bmw-x1-sdrive20i-5p-electrico-hibrido-2024-en-valladolid-70421654-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Passat Variant Business 1.5 TSI,19.900 €,2021,104.390 km,Gasolina,150 cv,Valladolid,2026-05-06 14:19:19,C,https://www.coches.net/volkswagen-passat-variant-business-15-tsi-110kw-5p-gasolina-2021-en-valladolid-70421655-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf GTI Clubsport 2.0 TSI DSG,39.990 €,2024,48.000 km,Gasolina,300 cv,Cádiz,2026-05-06 14:19:19,C,https://www.coches.net/volkswagen-golf-gti-clubsport-20-tsi-221kw-300cv-dsg-5p-gasolina-2025-en-cadiz-70421862-covo.aspx
OPEL,OPEL Corsa 1.2 XEL Edition,12.500 €,2022,39.461 km,Gasolina,75 cv,Valencia,2026-05-06 14:19:19,C,https://www.coches.net/opel-corsa-12-xel-55kw-75cv-edition-5p-gasolina-2022-en-valencia-70421919-covo.aspx
HYUNDAI,HYUNDAI Tucson 1.6 CRDI 48V NLine X DCT 4X2,25.500 €,2021,49.626 km,Híbrido,136 cv,Valencia,2026-05-06 14:19:19,ECO,https://www.coches.net/hyundai-tucson-16-crdi-100kw-48v-nline-x-dct-4x2-5p-electrico-hibrido-2020-en-valencia-70421923-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase S S 500 4MATIC Coupe,49.990 €,2015,98.000 km,Gasolina,455 cv,Alicante,2026-05-06 14:19:19,C,https://www.coches.net/mercedes-benz-clase-s-s-500-4matic-coupe-2p-gasolina-2016-en-alicante-70421930-covo.aspx
TOYOTA,TOYOTA Land Cruiser 3.0 D4D VXL AUTO,43.900 €,2011,94.000 km,Diesel,190 cv,Cádiz,2026-05-06 14:19:19,C,https://www.coches.net/toyota-land-cruiser-30-d4d-vxl-auto-5p-diesel-2012-en-cadiz-70422273-covo.aspx
LAND-ROVER,LAND-ROVER Range Rover Evoque 2.2L TD4 4x4 Prestige,14.990 €,2015,135.000 km,Diesel,150 cv,Valencia,2026-05-06 14:19:19,B,https://www.coches.net/land-rover-range-rover-evoque-22l-td4-150cv-4x4-prestige-5p-diesel-2015-en-valencia-70422296-covo.aspx
PEUGEOT,PEUGEOT 308 Allure Pack BlueHDi 130 SS EAT8,13.000 €,2021,160.000 km,Diesel,130 cv,Madrid,2026-05-06 14:19:19,C,https://www.coches.net/peugeot-308-5p-allure-pack-bluehdi-130-ss-eat8-5p-diesel-2021-en-madrid-70422347-covo.aspx
PEUGEOT,PEUGEOT 308 SW Style 1.5 BlueHDi Auto,9.900 €,2019,179.000 km,Diesel,130 cv,Madrid,2026-05-06 14:19:19,C,https://www.coches.net/peugeot-308-sw-style-15-bluehdi-96kw-130cv-auto-5p-diesel-2019-en-madrid-70422402-covo.aspx
PEUGEOT,PEUGEOT 208 Signature BlueHDi,11.700 €,2019,89.000 km,Diesel,99 cv,Madrid,2026-05-06 14:19:19,C,https://www.coches.net/peugeot-208-5p-signature-bluehdi-73kw-100cv-5p-diesel-2018-en-madrid-70422422-covo.aspx
