Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
VOLKSWAGEN,VOLKSWAGEN Tiguan Life 2.0 TDI,19.990 €,2022,162.219 km,Diesel,150 cv,Zaragoza,2026-05-07 12:22:40,C,https://www.coches.net/volkswagen-tiguan-life-20-tdi-110kw-150cv-5p-diesel-2022-en-zaragoza-70572330-covo.aspx
CITROEN,CITROEN C4 BlueHDi Live Edition,7.990 €,2017,109.945 km,Diesel,99 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/citroen-c4-bluehdi-73kw-100cv-live-edition-5p-diesel-2016-en-madrid-70568770-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase A A 180,22.990 €,2021,86.000 km,Gasolina,136 cv,Madrid,2026-05-07 12:22:40,UNKNOWN,https://www.coches.net/mercedes-benz-clase-a-a-180-5p-gasolina-2020-en-madrid-70552450-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf Sport 2.0 TDI,23.490 €,2020,70.719 km,Diesel,150 cv,Murcia,2026-05-07 12:22:40,C,https://www.coches.net/volkswagen-golf-sport-20-tdi-110kw-150cv-5p-diesel-2020-en-murcia-70548092-covo.aspx
AUDI,AUDI A3 Sportback 30 TFSI S tronic,21.490 €,2021,75.869 km,Híbrido,110 cv,Madrid,2026-05-07 12:22:40,ECO,https://www.coches.net/audi-a3-sportback-30-tfsi-81kw-110cv-s-tronic-5p-electrico-hibrido-2022-en-madrid-70555837-covo.aspx
BMW,BMW Serie 1 116d Corporate Auto.,14.999 €,2021,207.000 km,Diesel,116 cv,Málaga,2026-05-07 12:22:40,C,https://www.coches.net/bmw-serie-1-116d-corporate-auto-5p-diesel-2022-en-malaga-70535575-covo.aspx
NISSAN,NISSAN QASHQAI 1.2 DIGT NCONNECTA,13.490 €,2016,99.035 km,Gasolina,115 cv,Barcelona,2026-05-07 12:22:40,UNKNOWN,https://www.coches.net/nissan-qashqai-12-digt-nconnecta-5p-gasolina-2016-en-barcelona-70554756-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Polo Polo 1.0 TSI,16.485 €,2024,57.271 km,Gasolina,95 cv,Sta. C. Tenerife,2026-05-07 12:22:40,C,https://www.coches.net/volkswagen-polo-polo-10-tsi-70kw-95cv-5p-gasolina-2023-en-sta-c-tenerife-70560024-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Tiguan 2.0 TDI 4x2 T1 BlueMotion Tech,9.500 €,2012,231.192 km,Diesel,140 cv,Madrid,2026-05-07 12:22:40,B,https://www.coches.net/volkswagen-tiguan-20-tdi-140cv-4x2-t1-bluemotion-tech-5p-diesel-2012-en-madrid-70572685-covo.aspx
SEAT,SEAT León 2.0 TDI DSG6 StSp FR,16.490 €,2018,116.740 km,Diesel,150 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/seat-leon-20-tdi-110kw-150cv-dsg6-stsp-fr-5p-diesel-2018-en-madrid-70568524-covo.aspx
FORD,FORD Focus 1.5 Ecoblue Trend,12.470 €,2020,129.000 km,Diesel,120 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/ford-focus-15-ecoblue-88kw-trend-5p-diesel-2020-en-madrid-70519388-covo.aspx
TOYOTA,TOYOTA Corolla 1.8 125H BUSINESS PLUS ECVT SEDAN,18.000 €,2021,88.395 km,Híbrido,122 cv,Navarra,2026-05-07 12:22:40,ECO,https://www.coches.net/toyota-corolla-18-125h-business-plus-ecvt-sedan-4p-electrico-hibrido-2021-en-navarra-70570084-covo.aspx
MAZDA,MAZDA Mazda3 2.0 SKYACTIVG ORIGIN,17.990 €,2020,47.364 km,Híbrido,122 cv,Madrid,2026-05-07 12:22:40,UNKNOWN,https://www.coches.net/mazda-mazda3-20-skyactivg-88kw-origin-5p-electrico-hibrido-2020-en-madrid-70570149-covo.aspx
